"","Biennium","BillId","BillNumber"
"286","2017-18","SHB 1209","1209"
"287","2017-18","HB 1210","1210"
"288","2017-18","HB 1211","1211"
"289","2017-18","HB 1212","1212"
"290","2017-18","SHB 1212","1212"
"291","2017-18","HB 1213","1213"
"292","2017-18","SHB 1213","1213"
"293","2017-18","HB 1214","1214"
"294","2017-18","HB 1215","1215"
"295","2017-18","HB 1216","1216"
"296","2017-18","HB 1217","1217"
"297","2017-18","HB 1218","1218"
"298","2017-18","SHB 1218","1218"
"299","2017-18","HB 1219","1219"
"300","2017-18","SHB 1219","1219"
"301","2017-18","HB 1220","1220"
"302","2017-18","HB 1221","1221"
"303","2017-18","HB 1222","1222"
"304","2017-18","HB 1223","1223"
"305","2017-18","HB 1224","1224"
"306","2017-18","HB 1225","1225"
"307","2017-18","SHB 1225","1225"
"308","2017-18","HB 1226","1226"
"309","2017-18","HB 1227","1227"
"310","2017-18","HB 1228","1228"
"311","2017-18","HB 1229","1229"
"312","2017-18","HB 1230","1230"
"313","2017-18","HB 1231","1231"
"314","2017-18","HB 1232","1232"
"315","2017-18","SHB 1232","1232"
"316","2017-18","HB 1233","1233"
"317","2017-18","HB 1234","1234"
"318","2017-18","SHB 1234","1234"
"319","2017-18","HB 1235","1235"
"320","2017-18","SHB 1235","1235"
"321","2017-18","HB 1236","1236"
"322","2017-18","EHB 1237","1237"
"323","2017-18","HB 1238","1238"
"324","2017-18","SHB 1238","1238"
"325","2017-18","HB 1239","1239"
"326","2017-18","ESHB 1239","1239"
"327","2017-18","HB 1240","1240"
"328","2017-18","HB 1241","1241"
"329","2017-18","HB 1242","1242"
"330","2017-18","HB 1243","1243"
"331","2017-18","HB 1244","1244"
"332","2017-18","HB 1245","1245"
"333","2017-18","HB 1246","1246"
"334","2017-18","HB 1247","1247"
"335","2017-18","SHB 1247","1247"
"336","2017-18","EHB 1248","1248"
"337","2017-18","HB 1249","1249"
"338","2017-18","HB 1250","1250"
"339","2017-18","HB 1251","1251"
"340","2017-18","SHB 1251","1251"
"341","2017-18","HB 1252","1252"
"342","2017-18","SHB 1252","1252"
"343","2017-18","HB 1253","1253"
"344","2017-18","HB 1254","1254"
"345","2017-18","HB 1255","1255"
"346","2017-18","HB 1256","1256"
"347","2017-18","HB 1257","1257"
"348","2017-18","SHB 1257","1257"
"349","2017-18","HB 1258","1258"
"350","2017-18","SHB 1258","1258"
"351","2017-18","HB 1259","1259"
"352","2017-18","HB 1260","1260"
"353","2017-18","HB 1261","1261"
"354","2017-18","HB 1262","1262"
"355","2017-18","HB 1263","1263"
"356","2017-18","HB 1264","1264"
"357","2017-18","SHB 1264","1264"
"358","2017-18","HB 1265","1265"
"359","2017-18","HB 1266","1266"
"360","2017-18","SHB 1266","1266"
"361","2017-18","HB 1267","1267"
"362","2017-18","HB 1268","1268"
"363","2017-18","HB 1269","1269"
"364","2017-18","HB 1270","1270"
"365","2017-18","HB 1271","1271"
"366","2017-18","HB 1272","1272"
"367","2017-18","SHB 1272","1272"
"368","2017-18","HB 1273","1273"
"369","2017-18","SHB 1273","1273"
"370","2017-18","HB 1274","1274"
"371","2017-18","HB 1275","1275"
"372","2017-18","SHB 1275","1275"
"373","2017-18","HB 1276","1276"
"374","2017-18","HB 1277","1277"
"375","2017-18","HB 1278","1278"
"376","2017-18","HB 1279","1279"
"377","2017-18","SHB 1279","1279"
"378","2017-18","HB 1280","1280"
"379","2017-18","SHB 1280","1280"
"380","2017-18","2SHB 1280","1280"
"381","2017-18","HB 1281","1281"
"382","2017-18","HB 1282","1282"
"383","2017-18","HB 1283","1283"
"384","2017-18","HB 1284","1284"
"385","2017-18","HB 1285","1285"
"386","2017-18","HB 1286","1286"
"387","2017-18","HB 1287","1287"
"388","2017-18","HB 1288","1288"
"389","2017-18","HB 1289","1289"
"390","2017-18","ESHB 1289","1289"
"391","2017-18","HB 1290","1290"
"392","2017-18","HB 1291","1291"
"393","2017-18","SHB 1291","1291"
"394","2017-18","HB 1292","1292"
"395","2017-18","HB 1293","1293"
"396","2017-18","SHB 1293","1293"
"397","2017-18","HB 1294","1294"
"398","2017-18","HB 1295","1295"
"399","2017-18","HB 1296","1296"
"400","2017-18","ESHB 1296","1296"
"401","2017-18","HB 1297","1297"
"402","2017-18","HB 1298","1298"
"403","2017-18","SHB 1298","1298"
"404","2017-18","HB 1299","1299"
"405","2017-18","SHB 1299","1299"
"406","2017-18","HB 1300","1300"
"407","2017-18","SHB 1300","1300"
"408","2017-18","HB 1301","1301"
"409","2017-18","HB 1302","1302"
"410","2017-18","HB 1303","1303"
"411","2017-18","SHB 1303","1303"
"412","2017-18","HB 1304","1304"
"413","2017-18","SHB 1304","1304"
"414","2017-18","HB 1305","1305"
"415","2017-18","SHB 1305","1305"
"416","2017-18","HB 1306","1306"
"417","2017-18","HB 1307","1307"
"418","2017-18","HB 1308","1308"
"419","2017-18","EHB 1309","1309"
"420","2017-18","HB 1310","1310"
"421","2017-18","HB 1311","1311"
"422","2017-18","HB 1312","1312"
"423","2017-18","HB 1313","1313"
"424","2017-18","HB 1314","1314"
"425","2017-18","SHB 1314","1314"
"426","2017-18","HB 1315","1315"
"427","2017-18","SHB 1315","1315"
"428","2017-18","HB 1316","1316"
"429","2017-18","2ESHB 1316","1316"
"430","2017-18","HB 1317","1317"
"431","2017-18","SHB 1317","1317"
"432","2017-18","HB 1318","1318"
"433","2017-18","HB 1319","1319"
"434","2017-18","ESHB 1319","1319"
"435","2017-18","HB 1320","1320"
"436","2017-18","SHB 1320","1320"
"437","2017-18","HB 1321","1321"
"438","2017-18","SHB 1321","1321"
"439","2017-18","EHB 1322","1322"
"440","2017-18","HB 1323","1323"
"441","2017-18","ESHB 1323","1323"
"442","2017-18","HB 1324","1324"
"443","2017-18","HB 1325","1325"
"444","2017-18","SHB 1325","1325"
"445","2017-18","HB 1326","1326"
"446","2017-18","HB 1327","1327"
"447","2017-18","HB 1328","1328"
"448","2017-18","HB 1329","1329"
"449","2017-18","HB 1330","1330"
"450","2017-18","SHB 1330","1330"
"451","2017-18","HB 1331","1331"
"452","2017-18","SHB 1331","1331"
"453","2017-18","HB 1332","1332"
"454","2017-18","SHB 1332","1332"
"455","2017-18","HB 1333","1333"
"456","2017-18","ESHB 1333","1333"
"457","2017-18","HB 1334","1334"
"458","2017-18","HB 1335","1335"
"459","2017-18","HB 1336","1336"
"460","2017-18","HB 1337","1337"
"461","2017-18","HB 1338","1338"
"462","2017-18","SHB 1338","1338"
"463","2017-18","2SHB 1338","1338"
"464","2017-18","HB 1339","1339"
"465","2017-18","ESHB 1339","1339"
"466","2017-18","HB 1340","1340"
"467","2017-18","2ESHB 1340","1340"
"468","2017-18","HB 1341","1341"
"469","2017-18","SHB 1341","1341"
"470","2017-18","E2SHB 1341","1341"
"471","2017-18","HB 1342","1342"
"472","2017-18","HB 1343","1343"
"473","2017-18","HB 1344","1344"
"474","2017-18","SHB 1344","1344"
"475","2017-18","HB 1345","1345"
"476","2017-18","HB 1346","1346"
"477","2017-18","SHB 1346","1346"
"478","2017-18","HB 1347","1347"
"479","2017-18","SHB 1347","1347"
"480","2017-18","HB 1348","1348"
"481","2017-18","HB 1349","1349"
"482","2017-18","HB 1350","1350"
"483","2017-18","HB 1351","1351"
"484","2017-18","SHB 1351","1351"
"485","2017-18","E2SHB 1351","1351"
"486","2017-18","HB 1352","1352"
"487","2017-18","HB 1353","1353"
"488","2017-18","SHB 1353","1353"
"489","2017-18","HB 1354","1354"
"490","2017-18","HB 1355","1355"
"491","2017-18","SHB 1355","1355"
"492","2017-18","HB 1356","1356"
"493","2017-18","HB 1357","1357"
"494","2017-18","SHB 1357","1357"
"495","2017-18","2SHB 1357","1357"
"496","2017-18","HB 1358","1358"
"497","2017-18","SHB 1358","1358"
"498","2017-18","E2SHB 1358","1358"
"499","2017-18","HB 1359","1359"
"500","2017-18","ESHB 1359","1359"
"501","2017-18","HB 1360","1360"
"502","2017-18","HB 1361","1361"
"503","2017-18","HB 1362","1362"
"504","2017-18","HB 1363","1363"
"505","2017-18","HB 1364","1364"
"506","2017-18","SHB 1364","1364"
"507","2017-18","HB 1365","1365"
"508","2017-18","SHB 1365","1365"
"509","2017-18","HB 1366","1366"
"510","2017-18","SHB 1366","1366"
"511","2017-18","2SHB 1366","1366"
"512","2017-18","HB 1367","1367"
"513","2017-18","HB 1368","1368"
"514","2017-18","HB 1369","1369"
"515","2017-18","SHB 1369","1369"
"516","2017-18","HB 1370","1370"
"517","2017-18","HB 1371","1371"
"518","2017-18","ESHB 1371","1371"
"519","2017-18","HB 1372","1372"
"520","2017-18","HB 1373","1373"
"521","2017-18","HB 1374","1374"
"522","2017-18","HB 1375","1375"
"523","2017-18","SHB 1375","1375"
"524","2017-18","E2SHB 1375","1375"
"525","2017-18","HB 1376","1376"
"526","2017-18","SHB 1376","1376"
"527","2017-18","HB 1377","1377"
"528","2017-18","SHB 1377","1377"
"529","2017-18","EHB 1378","1378"
"530","2017-18","HB 1379","1379"
"531","2017-18","SHB 1379","1379"
"532","2017-18","HB 1380","1380"
"533","2017-18","HB 1381","1381"
"534","2017-18","HB 1382","1382"
"535","2017-18","HB 1383","1383"
"536","2017-18","HB 1384","1384"
"537","2017-18","SHB 1384","1384"
"538","2017-18","HB 1385","1385"
"539","2017-18","HB 1386","1386"
"540","2017-18","HB 1387","1387"
"541","2017-18","HB 1388","1388"
"542","2017-18","2ESHB 1388","1388"
"543","2017-18","HB 1389","1389"
"544","2017-18","SHB 1389","1389"
"545","2017-18","HB 1390","1390"
"546","2017-18","HB 1391","1391"
"547","2017-18","SHB 1391","1391"
"548","2017-18","HB 1392","1392"
"549","2017-18","HB 1393","1393"
"550","2017-18","HB 1394","1394"
"551","2017-18","HB 1395","1395"
"552","2017-18","HB 1396","1396"
"553","2017-18","HB 1397","1397"
"554","2017-18","HB 1398","1398"
"555","2017-18","HB 1399","1399"
"556","2017-18","SHB 1399","1399"
"557","2017-18","HB 1400","1400"
"558","2017-18","HB 1401","1401"
"559","2017-18","HB 1402","1402"
"560","2017-18","SHB 1402","1402"
"561","2017-18","2SHB 1402","1402"
"562","2017-18","HB 1403","1403"
"563","2017-18","SHB 1403","1403"
"564","2017-18","HB 1404","1404"
"565","2017-18","SHB 1404","1404"
"566","2017-18","HB 1405","1405"
"567","2017-18","SHB 1405","1405"
"568","2017-18","HB 1406","1406"
"569","2017-18","HB 1407","1407"
"570","2017-18","HB 1408","1408"
"571","2017-18","HB 1409","1409"
"572","2017-18","HB 1410","1410"
"573","2017-18","HB 1411","1411"
"574","2017-18","SHB 1411","1411"
"575","2017-18","HB 1412","1412"
"576","2017-18","HB 1413","1413"
"577","2017-18","SHB 1413","1413"
"578","2017-18","HB 1414","1414"
"579","2017-18","SHB 1414","1414"
"580","2017-18","HB 1415","1415"
"581","2017-18","HB 1416","1416"
"582","2017-18","HB 1417","1417"
"583","2017-18","SHB 1417","1417"
"584","2017-18","HB 1418","1418"
"585","2017-18","SHB 1418","1418"
"586","2017-18","HB 1419","1419"
"587","2017-18","HB 1420","1420"
"588","2017-18","SHB 1420","1420"
"589","2017-18","HB 1421","1421"
"590","2017-18","ESHB 1421","1421"
"591","2017-18","HB 1422","1422"
"592","2017-18","SHB 1422","1422"
"593","2017-18","HB 1423","1423"
"594","2017-18","HB 1424","1424"
"595","2017-18","HB 1425","1425"
"596","2017-18","SHB 1425","1425"
"597","2017-18","HB 1426","1426"
"598","2017-18","SHB 1426","1426"
"599","2017-18","E2SHB 1426","1426"
"600","2017-18","HB 1427","1427"
"601","2017-18","ESHB 1427","1427"
"602","2017-18","HB 1428","1428"
"603","2017-18","SHB 1428","1428"
"604","2017-18","HB 1429","1429"
"605","2017-18","SHB 1429","1429"
"606","2017-18","HB 1430","1430"
"607","2017-18","HB 1431","1431"
"608","2017-18","ESHB 1431","1431"
"609","2017-18","HB 1432","1432"
"610","2017-18","ESHB 1432","1432"
"611","2017-18","HB 1433","1433"
"612","2017-18","SHB 1433","1433"
"613","2017-18","HB 1434","1434"
"614","2017-18","ESHB 1434","1434"
"615","2017-18","HB 1435","1435"
"616","2017-18","HB 1436","1436"
"617","2017-18","HB 1437","1437"
"618","2017-18","HB 1438","1438"
"619","2017-18","HB 1439","1439"
"620","2017-18","SHB 1439","1439"
"621","2017-18","E2SHB 1439","1439"
"622","2017-18","HB 1440","1440"
"623","2017-18","SHB 1440","1440"
"624","2017-18","E2SHB 1440","1440"
"625","2017-18","HB 1441","1441"
"626","2017-18","HB 1442","1442"
"627","2017-18","HB 1443","1443"
"628","2017-18","HB 1444","1444"
"629","2017-18","SHB 1444","1444"
"630","2017-18","HB 1445","1445"
"631","2017-18","SHB 1445","1445"
"632","2017-18","HB 1446","1446"
"633","2017-18","SHB 1446","1446"
"634","2017-18","HB 1447","1447"
"635","2017-18","HB 1448","1448"
"636","2017-18","HB 1449","1449"
"637","2017-18","EHB 1450","1450"
"638","2017-18","HB 1451","1451"
"639","2017-18","HB 1452","1452"
"640","2017-18","SHB 1452","1452"
"641","2017-18","HB 1453","1453"
"642","2017-18","HB 1454","1454"
"643","2017-18","HB 1455","1455"
"644","2017-18","HB 1456","1456"
"645","2017-18","SHB 1456","1456"
"646","2017-18","HB 1457","1457"
"647","2017-18","HB 1458","1458"
"648","2017-18","HB 1459","1459"
"649","2017-18","SHB 1459","1459"
"650","2017-18","HB 1460","1460"
"651","2017-18","HB 1461","1461"
"652","2017-18","HB 1462","1462"
"653","2017-18","SHB 1462","1462"
"654","2017-18","HB 1463","1463"
"655","2017-18","HB 1464","1464"
"656","2017-18","SHB 1464","1464"
"657","2017-18","HB 1465","1465"
"658","2017-18","ESHB 1465","1465"
"659","2017-18","HB 1466","1466"
"660","2017-18","SHB 1466","1466"
"661","2017-18","HB 1467","1467"
"662","2017-18","SHB 1467","1467"
"663","2017-18","HB 1468","1468"
"664","2017-18","HB 1469","1469"
"665","2017-18","HB 1470","1470"
"666","2017-18","HB 1471","1471"
"667","2017-18","HB 1472","1472"
"668","2017-18","SHB 1472","1472"
"669","2017-18","HB 1473","1473"
"670","2017-18","HB 1474","1474"
"671","2017-18","HB 1475","1475"
"672","2017-18","EHB 1476","1476"
"673","2017-18","HB 1477","1477"
"674","2017-18","SHB 1477","1477"
"675","2017-18","HB 1478","1478"
"676","2017-18","HB 1479","1479"
"677","2017-18","EHB 1480","1480"
"678","2017-18","HB 1481","1481"
"679","2017-18","ESHB 1481","1481"
"680","2017-18","HB 1482","1482"
"681","2017-18","SHB 1482","1482"
"682","2017-18","E2SHB 1482","1482"
"683","2017-18","HB 1483","1483"
"684","2017-18","HB 1484","1484"
"685","2017-18","HB 1485","1485"
"686","2017-18","HB 1486","1486"
"687","2017-18","SHB 1486","1486"
"688","2017-18","HB 1487","1487"
"689","2017-18","HB 1488","1488"
"690","2017-18","SHB 1488","1488"
"691","2017-18","2SHB 1488","1488"
"692","2017-18","HB 1489","1489"
"693","2017-18","ESHB 1489","1489"
"694","2017-18","HB 1490","1490"
"695","2017-18","SHB 1490","1490"
"696","2017-18","HB 1491","1491"
"697","2017-18","SHB 1491","1491"
"698","2017-18","HB 1492","1492"
"699","2017-18","HB 1493","1493"
"700","2017-18","ESHB 1493","1493"
"701","2017-18","HB 1494","1494"
"702","2017-18","HB 1495","1495"
"703","2017-18","SHB 1495","1495"
"704","2017-18","E2SHB 1495","1495"
"705","2017-18","HB 1496","1496"
"706","2017-18","HB 1497","1497"
"707","2017-18","HB 1498","1498"
"708","2017-18","HB 1499","1499"
"709","2017-18","HB 1500","1500"
"710","2017-18","HB 1501","1501"
"711","2017-18","SHB 1501","1501"
"712","2017-18","HB 1502","1502"
"713","2017-18","SHB 1502","1502"
"714","2017-18","HB 1503","1503"
"715","2017-18","ESHB 1503","1503"
"716","2017-18","HB 1504","1504"
"717","2017-18","ESHB 1504","1504"
"718","2017-18","HB 1505","1505"
"719","2017-18","EHB 1506","1506"
"720","2017-18","SHB 1506","1506"
"721","2017-18","EHB 1507","1507"
"722","2017-18","HB 1508","1508"
"723","2017-18","2ESHB 1508","1508"
"724","2017-18","HB 1509","1509"
"725","2017-18","HB 1510","1510"
"726","2017-18","HB 1511","1511"
"727","2017-18","SHB 1511","1511"
"728","2017-18","HB 1512","1512"
"729","2017-18","SHB 1512","1512"
"730","2017-18","E2SHB 1512","1512"
"731","2017-18","HB 1513","1513"
"732","2017-18","ESHB 1513","1513"
"733","2017-18","HB 1514","1514"
"734","2017-18","ESHB 1514","1514"
"735","2017-18","HB 1515","1515"
"736","2017-18","SHB 1515","1515"
"737","2017-18","HB 1516","1516"
"738","2017-18","SHB 1516","1516"
"739","2017-18","HB 1517","1517"
"740","2017-18","HB 1518","1518"
"741","2017-18","SHB 1518","1518"
"742","2017-18","HB 1519","1519"
"743","2017-18","HB 1520","1520"
"744","2017-18","SHB 1520","1520"
"745","2017-18","HB 1521","1521"
"746","2017-18","SHB 1521","1521"
"747","2017-18","HB 1522","1522"
"748","2017-18","HB 1523","1523"
"749","2017-18","ESHB 1523","1523"
"750","2017-18","HB 1524","1524"
"751","2017-18","SHB 1524","1524"
"752","2017-18","HB 1525","1525"
"753","2017-18","HB 1526","1526"
"754","2017-18","SHB 1526","1526"
"755","2017-18","HB 1527","1527"
"756","2017-18","HB 1528","1528"
